feature,c2_bins_used,c2_dead_bins_ratio,c2_preserve_ratio,c2_compression_factor,c2_entropy_norm,c2_dominant_bin_ratio,c2_rare_used_bin_ratio_le5,c2_offset_nonzero_ratio,c2_offset_unique_count,c2_used_odd_bin_ratio,k1024_strategy,raw_unique,k1024_bins_used,k1024_dead_bins_ratio,k1024_preserve_ratio,k1024_compression_factor,k1024_entropy_norm,k1024_dominant_bin_ratio,k1024_rare_used_bin_ratio_le5,k1024_offset_nonzero_ratio,k1024_offset_unique_count,k1024_used_odd_bin_ratio,delta_bins_used,delta_entropy_norm,delta_rare_used_bin_ratio_le5
psxview.not_in_eprocess_pool_false_avg,159,0.689453125,1.0,1.0,0.010955484576625277,0.9949227749808004,0.9559748427672956,0.00507722501919959,159,0.5094339622641509,keep_current,159,145,0.8583984375,0.9119496855345912,1.096551724137931,0.011063447230060077,0.9949227749808004,0.9517241379310345,0.005034559262735728,158,0.47586206896551725,-14,0.0001079626534348007,-0.00425070483626111
psxview.not_in_ethread_pool_false_avg,512,0.0,1.0,16.30078125,0.6078890526288423,0.38785305913473844,0.0,0.6124882669169724,8346,0.5,rank_uniform_offset,8346,1024,0.0,1.0,8.150390625,0.572208669755728,0.387682396108883,0.0009765625,0.6124669340387405,8345,0.5,512,-0.03568038287311426,0.0009765625
psxview.not_in_pspcid_list_false_avg,512,0.0,1.0,15.201171875,0.5651203929512788,0.4457504906561993,0.0,0.5545481696390477,3892,0.5,rank_uniform_offset,7783,1024,0.0,1.0,7.6005859375,0.5316284601918826,0.44557982763034387,0.0009765625,0.5545055038825838,2594,0.5,512,-0.033491932759396215,0.0009765625
psxview.not_in_csrss_handles_false_avg,512,0.0,1.0,18.47265625,0.765277320469504,0.06188667975083198,0.0,0.9999786671217681,9458,0.5,rank_uniform_offset,9458,1024,0.0,1.0,9.236328125,0.7176664076464363,0.061694683846744605,0.0009765625,0.9999573342435362,9457,0.5,512,-0.04761091282306773,0.0009765625
psxview.not_in_session_false_avg,512,0.0,1.0,18.669921875,0.7579223476549959,0.06446795801689564,0.0,0.9999573342435362,4780,0.5,rank_uniform_offset,9559,1024,0.0,1.0,9.3349609375,0.7122199220817318,0.06427596211280825,0.0009765625,0.9999146684870722,3186,0.5,512,-0.045702425573264094,0.0009765625
psxview.not_in_deskthrd_false_avg,512,0.0,1.0,18.857421875,0.7731383545067176,0.06139602355149757,0.0,0.9938987968256677,4828,0.5,rank_uniform_offset,9655,1024,0.0,1.0,9.4287109375,0.7251749373857926,0.06120402764741019,0.0009765625,0.9999146684870722,3218,0.5,512,-0.047963417120925,0.0009765625
modules.nmodules,3,0.994140625,1.0,1.0,0.14893518717180834,0.9614088232784367,0.3333333333333333,0.0,1,0.3333333333333333,discrete_compact_offset0,3,3,0.9970703125,1.0,1.0,0.14893518717180834,0.9614088232784367,0.3333333333333333,0.0,1,0.3333333333333333,0,0.0,0.0
svcscan.nservices,30,0.94140625,1.0,1.0,0.34744347878889764,0.4652274084819524,0.5333333333333333,0.0,1,0.5,discrete_compact_offset0,30,30,0.970703125,1.0,1.0,0.34744347878889764,0.4652274084819524,0.5333333333333333,0.0,1,0.5,0,0.0,0.0
svcscan.kernel_drivers,19,0.962890625,1.0,1.0,0.28582173062486177,0.4982080382285178,0.631578947368421,0.0,1,0.47368421052631576,discrete_compact_offset0,19,19,0.9814453125,1.0,1.0,0.28582173062486177,0.4982080382285178,0.631578947368421,0.0,1,0.47368421052631576,0,0.0,0.0
svcscan.fs_drivers,10,0.98046875,1.0,1.0,0.003866070213091662,0.9990400204795631,0.7,0.0,1,0.5,discrete_compact_offset0,10,10,0.990234375,1.0,1.0,0.003866070213091662,0.9990400204795631,0.7,0.0,1,0.5,0,0.0,0.0
svcscan.process_services,14,0.97265625,1.0,1.0,0.32624826091225567,0.590664732485707,0.42857142857142855,0.0,1,0.5,discrete_compact_offset0,14,14,0.986328125,1.0,1.0,0.32624826091225567,0.590664732485707,0.42857142857142855,0.0,1,0.5,0,0.0,0.0
svcscan.shared_process_services,22,0.95703125,1.0,1.0,0.2762666726609017,0.4982080382285178,0.6363636363636364,0.0,1,0.5,discrete_compact_offset0,22,22,0.978515625,1.0,1.0,0.2762666726609017,0.4982080382285178,0.6363636363636364,0.0,1,0.5,0,0.0,0.0
svcscan.interactive_process_services,1,0.998046875,1.0,1.0,0.0,1.0,0.0,1.0,1,0.0,constant,1,1,0.9990234375,1.0,1.0,0.0,1.0,0.0,0.0,1,0.0,0,0.0,0.0
svcscan.nactive,34,0.93359375,1.0,1.0,0.6257817858570436,0.24310948033108626,0.4117647058823529,0.0,1,0.5,discrete_compact_offset0,34,34,0.966796875,1.0,1.0,0.6257817858570436,0.24310948033108626,0.4117647058823529,0.0,1,0.5,0,0.0,0.0
callbacks.ncallbacks,13,0.974609375,1.0,1.0,0.44011199341175156,0.42770287567198567,0.3076923076923077,0.0,1,0.46153846153846156,discrete_compact_offset0,13,13,0.9873046875,1.0,1.0,0.44011199341175156,0.42770287567198567,0.3076923076923077,0.0,1,0.46153846153846156,0,0.0,0.0
callbacks.nanonymous,2,0.99609375,1.0,1.0,0.009929783324449003,0.9991466848707228,0.0,0.0,1,0.5,discrete_compact_offset0,2,2,0.998046875,1.0,1.0,0.009929783324449003,0.9991466848707228,0.0,0.0,1,0.5,0,0.0,0.0
callbacks.ngeneric,2,0.99609375,1.0,1.0,0.0018398586095722102,0.9998720027306084,0.0,0.0,1,0.5,discrete_compact_offset0,2,2,0.998046875,1.0,1.0,0.0018398586095722102,0.9998720027306084,0.0,0.0,1,0.5,0,0.0,0.0
